ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade,total
3,74.3,54.4,63.0,63.9,31,40.11,40.0,N,43.21
4,89.8,81.3,82.0,90.4,37,52.845,44.0,N,56.545
15,66.3,53.7,53.0,81.9,30,41.30500000000001,41.0,N,44.305
24,57.7,76.3,71.0,87.7,35,48.535,44.0,N,52.035
25,84.7,65.0,73.0,88.9,34,47.97,44.0,N,51.37
26,84.7,53.8,75.0,78.1,36,45.769999999999996,44.0,N,49.36999999999999
33,64.2,50.0,18.0,0.0,0,11.61,12.0,N,11.61
42,81.5,43.8,0.0,0.0,0,10.645,11.0,N,10.645
44,71.9,61.3,76.0,94.5,38,49.765,44.0,N,53.565
47,50.0,71.3,56.0,93.8,34,47.065,44.0,N,50.465
54,76.1,50.0,50.0,50.0,33,37.805,38.0,N,41.105
60,73.9,53.2,74.0,95.9,34,46.760000000000005,44.0,N,50.16
78,52.9,53.2,50.0,50.0,36,38.625,39.0,N,42.225
